time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-21T16:06:49.627Z,36.2043,36.0917,10,4.2,mb,38,218,1.319,0.77,us,us6000jqkr,2023-02-21T17:13:49.085Z,"1 km ESE of Toygarl?, Turkey",earthquake,4.28,1.957,0.146,13,reviewed,us,us
2023-02-21T10:09:37.306Z,37.4007,37.2639,10,4.2,mb,15,103,0.232,0.3,us,us6000jqim,2023-02-21T16:10:53.040Z,"10 km SSW of Pazarc?k, Turkey",earthquake,3.02,1.957,0.264,4,reviewed,us,us
2023-02-21T09:56:46.321Z,38.2522,38.6518,10,4.1,mb,52,56,0.821,1.31,us,us6000jqil,2023-02-21T11:58:05.040Z,"24 km N of Sincik, Turkey",earthquake,5.43,1.941,0.127,18,reviewed,us,us
2023-02-20T23:21:14.375Z,38.0082,37.3722,10,4.3,mwr,92,36,0.626,0.81,us,us6000jqft,2023-02-21T06:06:23.818Z,"7 km NW of Nurhak, Turkey",earthquake,4.15,1.898,0.062,25,reviewed,us,us
2023-02-20T19:09:21.462Z,36.2966,36.1291,10,4.1,mb,31,194,1.232,0.91,us,us6000jqdp,2023-02-21T12:46:56.718Z,"4 km NNW of Kuzeytepe, Turkey",earthquake,7.06,1.99,0.197,7,reviewed,us,us
2023-02-20T19:00:14.022Z,36.067,35.9856,10,4.2,mb,45,99,1.479,1.06,us,us6000jqdn,2023-02-20T21:43:23.040Z,"9 km SSW of Uzunba?, Turkey",earthquake,6.55,1.944,0.121,19,reviewed,us,us
2023-02-20T17:07:35.745Z,36.1491,35.9086,10,5.5,mb,37,88,1.462,0.97,us,us6000jqjc,2023-02-21T19:41:02.691Z,"Central Turkey",earthquake,5.55,1.871,0.128,21,reviewed,us,us
2023-02-20T17:04:29.441Z,36.1094,36.0165,16,6.3,mww,140,26,1.43,1.18,us,us6000jqcn,2023-02-22T15:26:42.806Z,"3 km SSW of Uzunba?, Turkey",earthquake,5.41,1.504,0.031,97,reviewed,us,us
2023-02-20T03:45:38.572Z,38.6708,39.9482,7.526,4.3,mb,47,62,1.327,0.5,us,us6000jq85,2023-02-20T22:14:02.364Z,"3 km SE of Palu, Turkey",earthquake,3.47,1.56,0.095,31,reviewed,us,us
2023-02-20T01:48:59.785Z,37.9658,36.8106,10,4.3,mb,64,52,0.465,1.2,us,us6000jq7l,2023-02-20T02:02:25.040Z,"28 km ESE of Göksun, Turkey",earthquake,5.75,1.922,0.078,47,reviewed,us,us
2023-02-20T01:07:38.336Z,38.6477,40.0047,11.378,4.4,mb,48,82,1.377,0.9,us,us6000jq7e,2023-02-20T03:56:14.040Z,"8 km ESE of Palu, Turkey",earthquake,3.79,4.589,0.088,37,reviewed,us,us
2023-02-20T00:58:49.293Z,38.668,39.9382,14.809,4.2,mb,18,74,1.321,0.72,us,us6000jq79,2023-02-20T05:58:16.040Z,"3 km SSE of Palu, Turkey",earthquake,3.75,6.362,0.372,2,reviewed,us,us
2023-02-20T00:39:03.271Z,38.691,39.978,10,4.5,mwr,41,57,1.343,0.58,us,us6000jq74,2023-02-20T05:36:41.040Z,"5 km E of Palu, Turkey",earthquake,2.58,1.885,0.071,19,reviewed,us,us
2023-02-20T00:37:30.257Z,38.6413,39.9166,10,4.7,mwr,82,41,1.314,0.82,us,us6000jq73,2023-02-20T05:06:05.040Z,"5 km S of Palu, Turkey",earthquake,3.19,1.466,0.048,42,reviewed,us,us
